date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:19	42813/42813	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:18%20GMT	http://www.necbdc.org.in/section/consultancy	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/consultancy.html	(from http://www.necbdc.org.in/)
00:35:20	35241/35241	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:19%20GMT	http://www.necbdc.org.in/section/right-information	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/section/right-information.html	(from http://www.necbdc.org.in/)
00:35:21	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.google-analytics.com/analytics.js	(from http://www.necbdc.org.in/)
00:35:21	37711/37711	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:20%20GMT	http://www.necbdc.org.in/cbtc-projects	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/cbtc-projects.html	(from http://www.necbdc.org.in/)
00:35:23	40892/40892	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:21%20GMT	http://www.necbdc.org.in/article	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article.html	(from http://www.necbdc.org.in/)
00:35:24	45195/45195	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:22%20GMT	http://www.necbdc.org.in/tenders	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/tenders.html	(from http://www.necbdc.org.in/)
00:35:25	41893/41893	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:23%20GMT	http://www.necbdc.org.in/resources	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/resources.html	(from http://www.necbdc.org.in/)
00:35:25	37061/37061	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:24%20GMT	http://www.necbdc.org.in/contact	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/contact.html	(from http://www.necbdc.org.in/)
00:35:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Mar%202022%2019:05:26%20GMT	http://www.necbdc.org.in/node?qt-news1=0	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/node.38eee8.delayed	(from http://www.necbdc.org.in/)
00:35:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Mar%202022%2019:05:27%20GMT	http://www.necbdc.org.in/node?qt-news1=1	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/node.3997c1.delayed	(from http://www.necbdc.org.in/)
